geoid,name,state,japanese_pop,total_pop,japanese_pct
26115831900,"Monroe County (8319)","Michigan",0,1455,0
26155030500,"Shiawassee County (305)","Michigan",0,3024,0
18003010304,"Allen County (103.04)","Indiana",0,8378,0
18003010707,"Allen County (107.07)","Indiana",0,5773,0
18003010803,"Allen County (108.03)","Indiana",0,5871,0
18003002000,"Allen County (20)","Indiana",0,3483,0
18003003000,"Allen County (30)","Indiana",29,4220,0.69
18179040700,"Wells County (407)","Indiana",0,3720,0
19163010800,"Scott County (108)","Iowa",0,2777,0
19163011900,"Scott County (119)","Iowa",0,3007,0
02240000100,"Southeast Fairbanks Census Area (1)","Alaska",27,2449,1.1
02158000100,"Kusilvak Census Area (1)","Alaska",0,8176,0
18033020700,"DeKalb County (207)","Indiana",0,4194,0
05017080100,"Chicot County (801)","Arkansas",0,3214,0
01063060200,"Greene County (602)","Alabama",0,2014,0
01089010623,"Madison County (106.23)","Alabama",45,7498,0.6
01089002200,"Madison County (22)","Alabama",0,1974,0
18053000800,"Grant County (8)","Indiana",0,6839,0
18057111003,"Hamilton County (1110.03)","Indiana",10,5251,0.19
18067001300,"Howard County (13)","Indiana",0,2570,0
18067001400,"Howard County (14)","Indiana",0,4747,0
18097330600,"Marion County (3306)","Indiana",0,5545,0
18097390500,"Marion County (3905)","Indiana",16,2586,0.62
